sampling_points_per_second,sampling,track_number,maximum_time,minimum_time_domain,median_time_domain,time_domain_average,time_domain_differential_peak,time_domain_average_rectifier,time_domain_variance,time_domain_standard_deviation,time_domain_kurtosis,time_domain_of_skewness,time_domain_root_mean_square,time_domain_RMS_factor,the_time_domain_peak_factor,time_domain_pulse_factor,time_domain_margin_factor,maximum_amplitude,minimum_amplitude,median_amplitude,average_amplitude,peak_amplitude_difference,peak_amplitude_threshold,center_of_gravity_frequency,mean_square_frequency,root_mean_square_frequency,frequency_variance,frequency_standard_deviation,maximum_power,power_minimum_value,median_power,power_average,SNR,bandwidth,type
600,1732,2,0.879675048,-1.104928834,-0.097101075,1.75E-17,1.984603882,0.193575912,0.071256832,0.266908919,6.430029068,-0.608533997,0.266831855,1.378356898,7.439370111,10.25307778,1056.990664,0.081397492,3.85E-19,0.004516203,0.005038213,0.081397492,0.061048119,306.4273711,123868.0565,351.9489402,29970.32269,173.1193885,7.65E-06,1.71E-40,2.36E-08,4.89E-08,-6.568132128,294.3366252,2
600,1732,2,0.762281819,-1.229905681,-0.184190349,-1.96E-16,1.9921875,0.327627071,0.173860376,0.416960884,3.61827694,-0.105791253,0.416840497,1.272295615,4.779365995,6.080668491,5.630393018,0.112986486,1.13E-17,0.005803544,0.006943625,0.112986486,0.084739865,296.9006406,117179.298,342.3146185,29029.30768,170.3798923,1.47E-05,1.47E-37,3.89E-08,1.15E-07,-7.584939839,294.7165205,2
600,1732,2,0.890801709,-1.097586352,-0.090155322,5.09E-17,1.988388062,0.200389397,0.08045906,0.283650402,6.184355328,-0.785728742,0.283568505,1.415097642,7.012210201,9.923042276,4.097121524,0.08385556,1.28E-17,0.005020413,0.005345371,0.08385556,0.06289167,307.2172196,124556.1264,352.9251003,30173.70639,173.7058041,8.12E-06,1.90E-37,2.91E-08,5.31E-08,-6.690791669,294.7805543,2
600,1732,2,0.865645402,-1.10723973,-0.080719954,4.37E-17,1.972885132,0.198431504,0.073524066,0.271001968,6.148073923,-0.587748542,0.270923722,1.364972847,7.287760927,9.94265863,8.071450297,0.072039039,1.13E-17,0.004463582,0.004926675,0.072039039,0.05402928,305.4207597,123256.2047,351.0786304,29974.36424,173.1310609,5.99E-06,1.47E-37,2.30E-08,4.57E-08,-7.484514872,296.1435635,2
600,1732,2,0.877896721,-1.110491341,-0.102892464,-5.67E-17,1.988388062,0.195588989,0.06962897,0.263852478,5.979757025,-0.51411954,0.263776297,1.348629815,7.53951843,10.16615104,4.206923136,0.080910381,1.82E-17,0.00435798,0.004895961,0.080910381,0.060682786,304.6360046,122510.7396,350.0153419,29707.64423,172.3590561,7.56E-06,3.83E-37,2.19E-08,4.76E-08,-6.481057365,295.1197718,2
600,1732,2,0.879902811,-1.108408957,-0.097544699,4.67E-17,1.988311768,0.200223585,0.076026761,0.275729038,6.337860118,-0.770090982,0.275649428,1.376773029,7.213239764,9.931215785,5.152223362,0.082097344,1.59E-17,0.004575414,0.005103236,0.082097344,0.061573008,304.9705738,123282.0289,351.1154068,30274.978,173.9970632,7.78E-06,2.92E-37,2.42E-08,5.04E-08,-6.637263007,294.818873,2
600,1732,2,0.884620138,-1.095909647,-0.098473124,1.04E-16,1.980529785,0.197683633,0.073077943,0.270317515,6.171647137,-0.649779,0.270239468,1.367015227,7.329291171,10.01867344,4.671735898,0.079599148,3.08E-18,0.004506334,0.00497802,0.079599148,0.059699361,305.2022238,123466.4371,351.3779121,30318.03975,174.120762,7.32E-06,1.09E-38,2.34E-08,4.78E-08,-6.677882861,295.1185142,2
600,1732,2,0.878485585,-1.113808727,-0.10028181,-5.82E-18,1.992294312,0.200650169,0.073136382,0.270370735,5.967751151,-0.555376766,0.270292672,1.346989437,7.374493278,9.929333814,4.311715218,0.079735526,8.72E-18,0.004618745,0.00512934,0.079735526,0.059801644,306.3794897,123706.7522,351.7197069,29838.36051,172.7378375,7.34E-06,8.78E-38,2.46E-08,5.09E-08,-6.992267883,294.4764918,2
600,1732,2,0.880602989,-1.096020547,-0.104092446,4.55E-17,1.976623535,0.2024408,0.075087442,0.27399571,5.824886223,-0.480189902,0.273916601,1.353034302,7.216708143,9.764321991,4.359387777,0.083575319,8.72E-18,0.004467179,0.004937483,0.083575319,0.062681489,305.560301,123234.7615,351.04809,29867.66399,172.8226374,8.07E-06,8.78E-38,2.30E-08,4.87E-08,-6.25919852,294.9592995,2
600,1735,2,0.866944687,-1.094038589,-0.106581314,5.08E-17,1.960983276,0.208871101,0.078009379,0.279297772,5.608979071,-0.544668866,0.279217271,1.336975343,7.023042059,9.390017003,6.037892538,0.072272196,2.00E-17,0.004482096,0.005044895,0.072272196,0.054204147,308.6138912,124981.2239,353.5268361,29738.69001,172.449094,6.02E-06,4.59E-37,2.31E-08,5.12E-08,-8.051686771,292.2847821,2
