sampling_points_per_second,sampling,track_number,maximum_time,minimum_time_domain,median_time_domain,time_domain_average,time_domain_differential_peak,time_domain_average_rectifier,time_domain_variance,time_domain_standard_deviation,time_domain_kurtosis,time_domain_of_skewness,time_domain_root_mean_square,time_domain_RMS_factor,the_time_domain_peak_factor,time_domain_pulse_factor,time_domain_margin_factor,maximum_amplitude,minimum_amplitude,median_amplitude,average_amplitude,peak_amplitude_difference,peak_amplitude_threshold,center_of_gravity_frequency,mean_square_frequency,root_mean_square_frequency,frequency_variance,frequency_standard_deviation,maximum_power,power_minimum_value,median_power,power_average,SNR,bandwidth,type
600,1734,2,1.003901885,-0.973835541,0.012507842,-1.53E-16,1.977737427,0.329214892,0.204678176,0.452413585,2.695964618,-0.489872548,0.452283112,1.373823984,4.372789789,6.007445806,10.65624971,0.149453458,1.33E-17,0.005220248,0.006203868,0.149453458,0.112090093,305.0167445,120391.1304,346.9742504,27355.91601,165.3962394,2.58E-05,2.05E-37,3.14E-08,1.36E-07,-5.528430463,286.6167721,1
600,1734,2,1.077717017,-0.916820337,0.077976416,-3.23E-17,1.994537354,0.339288753,0.208146281,0.456230397,2.648684384,-0.243311509,0.456098823,1.344284147,4.373033922,5.878588829,9.671722939,0.115491508,1.23E-17,0.006209808,0.007393884,0.115491508,0.086618631,300.3031589,118099.4654,343.6560277,27917.47812,167.0852421,1.54E-05,1.74E-37,4.45E-08,1.38E-07,-8.312832677,295.982893,1
600,1732,2,0.758131032,-1.23390388,0.090162282,9.86E-17,1.992034912,0.347629334,0.21324274,0.461780126,3.163267693,-0.216554524,0.461646799,1.32799398,4.315069687,5.730390995,4.096182729,0.171275692,2.92E-17,0.006629521,0.007560474,0.171275692,0.128456769,302.6035749,119916.3458,346.289396,28347.42222,168.3669273,3.39E-05,9.87E-37,5.08E-08,1.41E-07,-4.167863535,294.2518031,1
600,1732,2,0.914576815,-1.066029265,-0.07050009,-5.83E-17,1.980606079,0.154744477,0.061424548,0.247788324,7.978298038,-0.53496414,0.247716782,1.600692654,7.998431713,12.79936909,20.93229316,0.052552634,1.03E-18,0.004347528,0.004788386,0.052552634,0.039414475,303.5633101,122215.958,349.5939902,30065.27474,173.3934103,3.19E-06,1.21E-39,2.18E-08,3.93E-08,-9.849590271,295.6714954,1
600,1732,2,0.9138952,-1.047881534,-0.073371341,-3.43E-17,1.961776733,0.158336153,0.062657922,0.250315273,7.933447582,-0.481799271,0.250243001,1.580465921,7.839673078,12.38969664,3.449316258,0.048155592,3.85E-19,0.004519792,0.004971076,0.048155592,0.036116694,302.4699155,121777.7382,348.9666721,30289.68846,174.0393302,2.68E-06,1.71E-40,2.36E-08,4.16E-08,-10.95364001,296.64991,1
600,1732,2,0.910980154,-1.073745798,-0.072677683,1.58E-16,1.984725952,0.159604698,0.061726928,0.248448978,7.541083696,-0.512657048,0.248377245,1.556235591,7.990773604,12.43554015,5.514326983,0.058687126,1.13E-17,0.00456947,0.00496225,0.058687126,0.044015345,304.4545389,122656.0976,350.2229255,29963.5313,173.0997727,3.98E-06,1.47E-37,2.41E-08,4.10E-08,-8.996040489,296.037097,1
600,1732,2,0.912823428,-1.068118344,-0.06830145,1.07E-18,1.980941772,0.158942614,0.063708707,0.252354915,7.7287053,-0.650750958,0.252282054,1.587169108,7.854305311,12.46557063,3.281886178,0.062214,1.33E-17,0.004432607,0.004803193,0.062214,0.0466605,303.2527921,121988.0529,349.2678812,30025.79693,173.2795341,4.47E-06,2.05E-37,2.27E-08,4.07E-08,-8.383561332,296.8734583,1
600,1732,2,0.920144652,-1.072409059,-0.071577455,-1.28E-17,1.992553711,0.159393709,0.061533293,0.247925543,7.74765983,-0.621945365,0.247853961,1.55456397,8.047817965,12.50476058,4.572440658,0.060490152,1.23E-17,0.004177568,0.004667101,0.060490152,0.045367614,302.6037538,121563.597,348.6597151,29994.56514,173.189391,4.23E-06,1.75E-37,2.02E-08,3.83E-08,-8.356847739,296.728222,1
600,1732,2,0.917543037,-1.063627617,-0.071226494,-5.87E-17,1.981170654,0.161997281,0.063801074,0.252588365,7.65298669,-0.723568594,0.252515436,1.558762844,7.845738203,12.22964577,3.591384126,0.062826448,6.41E-18,0.004521125,0.004953224,0.062826448,0.047119836,302.7712125,121874.7302,349.1056147,30204.32309,173.7939098,4.56E-06,4.74E-38,2.36E-08,4.26E-08,-8.514482405,296.6229552,1
600,1732,2,0.902993852,-1.077932662,-0.07858879,1.05E-16,1.980926514,0.165936845,0.064579914,0.254117374,7.451928628,-0.441538468,0.254044004,1.530993571,7.798225406,11.93782473,7.566507261,0.055533191,1.21E-17,0.004637492,0.005067051,0.055533191,0.041649893,302.7359639,121685.2334,348.8341059,30036.16959,173.3094619,3.56E-06,1.68E-37,2.48E-08,4.23E-08,-9.682023318,296.5927589,1
600,1732,2,0.895998226,-1.083799138,-0.078000798,-3.08E-17,1.979797363,0.166255143,0.06299516,0.250988169,7.499407095,-0.640834066,0.250915702,1.509366638,7.890312896,11.90907079,4.306051445,0.059312603,3.33E-18,0.004629554,0.004960799,0.059312603,0.044484453,299.2482945,119456.9371,345.6254289,29907.39536,172.9375476,4.06E-06,1.28E-38,2.47E-08,4.19E-08,-8.99039075,296.2940201,1
600,1732,2,0.90750826,-1.080422038,-0.079521769,-1.97E-17,1.987930298,0.167166908,0.063091741,0.251098938,7.428544254,-0.523587594,0.25102644,1.501421433,7.924679889,11.89517428,3.648008099,0.05847877,6.92E-18,0.004392115,0.004809825,0.05847877,0.043859078,305.2645743,123165.8847,350.9499746,29979.42436,173.1456738,3.95E-06,5.53E-38,2.23E-08,3.99E-08,-8.892052993,294.9762166,1
600,3466,2,0.905172243,-1.083887205,-0.084261045,-1.50E-16,1.989059448,0.175769428,0.067368675,0.259549299,7.050209918,-0.450828963,0.259511854,1.476665661,7.6650404,11.31963348,5.115124138,0.046801117,4.36E-18,0.00318942,0.003590325,0.046801117,0.035100837,302.917921,121636.7502,348.7646057,29877.48334,172.8510438,1.26E-06,1.10E-38,5.87E-09,1.14E-08,-11.63443311,296.1312544,1
600,1732,2,0.752203609,-1.240853642,0.088537837,8.67E-17,1.993057251,0.342063428,0.209411748,0.457600196,3.254814357,-0.219732994,0.457468076,1.337365827,4.357016046,5.826857966,2.485476626,0.170868111,1.23E-17,0.006583026,0.007513111,0.170868111,0.128151083,299.9438549,118655.5211,344.4641071,28689.205,169.37888,3.37E-05,1.75E-37,5.00E-08,1.37E-07,-4.024405261,293.484141,1
600,1733,2,0.893106864,-1.072454049,-0.085134102,5.06E-17,1.965560913,0.177882614,0.067428337,0.25966834,6.704043677,-0.446559777,0.25959341,1.459425949,7.571733823,11.05049748,2.874574265,0.06738663,5.45E-18,0.00460539,0.005045054,0.06738663,0.050539973,304.7245209,123288.1759,351.1241602,30431.14227,174.4452415,5.24E-06,3.42E-38,2.45E-08,4.45E-08,-8.0432255,295.1633436,1
600,1733,2,0.90731587,-1.080400805,-0.079164843,-2.20E-17,1.987716675,0.177900423,0.070688103,0.265859589,6.773491581,-0.572909617,0.265782873,1.493968687,7.479311489,11.17323049,8.484698021,0.068441862,1.22E-18,0.004677001,0.005106488,0.068441862,0.051331396,303.642413,122247.427,349.6389953,30048.71207,173.3456434,5.40E-06,1.71E-39,2.52E-08,4.61E-08,-8.057154772,295.6578689,1
600,1733,2,0.896301921,-1.080001179,-0.08276302,9.16E-17,1.976303101,0.180892739,0.072422637,0.269114542,6.763845562,-0.480868011,0.269036887,1.487356937,7.345845055,10.92552449,4.452568416,0.058267284,2.66E-18,0.004896677,0.005361923,0.058267284,0.043700463,303.5135949,122313.3908,349.7333138,30192.88848,173.7610097,3.92E-06,8.15E-39,2.77E-08,4.81E-08,-9.84942924,297.177424,1
600,1733,2,0.906562008,-1.08237537,-0.083428226,5.61E-20,1.988937378,0.176538381,0.067439353,0.259658055,6.873711638,-0.434033363,0.259583128,1.4703136,7.663777181,11.26696166,5.734394707,0.065752224,1.57E-18,0.004644509,0.005147516,0.065752224,0.049314168,303.6705898,122386.923,349.8384241,30171.09583,173.6982897,4.99E-06,2.84E-39,2.49E-08,4.63E-08,-8.477427135,295.3433224,1
600,1733,2,0.9028204,-1.08016605,-0.081493565,-5.07E-17,1.98298645,0.175382389,0.067447908,0.259697317,6.945644084,-0.562457761,0.259622379,1.480358816,7.638621205,11.30815033,22.62040172,0.066158419,3.45E-18,0.004678471,0.005115129,0.066158419,0.049618815,303.7593845,122316.1727,349.737291,30046.40903,173.3390003,5.05E-06,1.37E-38,2.52E-08,4.56E-08,-8.347927019,295.2340262,1
600,1733,2,0.897329358,-1.086145373,-0.084451648,4.27E-17,1.983474731,0.176443879,0.06788129,0.260411449,7.011268799,-0.535326543,0.260336305,1.475231518,7.625674132,11.24159785,2.658275769,0.058863456,1.28E-18,0.004488996,0.004933427,0.058863456,0.044147592,301.5749791,121509.9514,348.5827755,30562.48339,174.8212899,4.00E-06,1.89E-39,2.32E-08,4.23E-08,-9.124502552,297.2793462,1
